City,Sub-region,Region,Population_2021,Area_km2,Density
Lisbon,Lisbon Metropolitan Area,Lisbon Metropolitan Area,545796,100.05,5456.5
Porto,Porto Metropolitan Area,North,231800,41.42,5165.6
Braga,Cávado,North,146543,61.38,2351.9
Coimbra,Region of Coimbra,Center,106655,94.65,1054.3
Funchal,Madeira,Madeira,105590,76.15,1389.2
Setúbal,Lisbon Metropolitan Area,Lisbon Metropolitan Area,98470,51.49,1755.6
Viseu,Viseu Dão-Lafões,Center,60570,64.85,917.0
Leiria,Region of Leiria,Center,54540,108.05,633.1
Portimão,Algarve,Algarve,43810,75.69,650.8
Évora,Central Alentejo,Alentejo,40373,112.06,183.5
Covilhã,Beiras and Serra da Estrela,Center,31950,25.95,702.1
Lagos,Algarve,Algarve,19790,29.15,811.4
Abrantes,Medium Tejo,Center,17199,64.47,250.3
Elvas,High Alentejo,Alentejo,14324,202.70,71.2
Tavira,Algarve,Algarve,13762,147.99,104.2
Sines,Alentejo Coast,Alentejo,12338,5.40,2285.0
Mirandela,Lands of Trás-os-Montes,North,10911,29.78,382.9
Machico,Madeira,Madeira,9990,17.41,564.5
