,Mean daily maximum °C (°F)Jan,Daily mean °C (°F)Jan,Mean daily minimum °C (°F)Jan,Average precipitation mm (inches)Jan,Mean daily maximum °C (°F)Feb,Daily mean °C (°F)Feb,Mean daily minimum °C (°F)Feb,Average precipitation mm (inches)Feb,Mean daily maximum °C (°F)Mar,Daily mean °C (°F)Mar,Mean daily minimum °C (°F)Mar,Average precipitation mm (inches)Mar,Mean daily maximum °C (°F)Apr,Daily mean °C (°F)Apr,Mean daily minimum °C (°F)Apr,Average precipitation mm (inches)Apr,Mean daily maximum °C (°F)May,Daily mean °C (°F)May,Mean daily minimum °C (°F)May,Average precipitation mm (inches)May,Mean daily maximum °C (°F)Jun,Daily mean °C (°F)Jun,Mean daily minimum °C (°F)Jun,Average precipitation mm (inches)Jun,Mean daily maximum °C (°F)Jul,Daily mean °C (°F)Jul,Mean daily minimum °C (°F)Jul,Average precipitation mm (inches)Jul,Mean daily maximum °C (°F)Aug,Daily mean °C (°F)Aug,Mean daily minimum °C (°F)Aug,Average precipitation mm (inches)Aug,Mean daily maximum °C (°F)Sep,Daily mean °C (°F)Sep,Mean daily minimum °C (°F)Sep,Average precipitation mm (inches)Sep,Mean daily maximum °C (°F)Oct,Daily mean °C (°F)Oct,Mean daily minimum °C (°F)Oct,Average precipitation mm (inches)Oct,Mean daily maximum °C (°F)Nov,Daily mean °C (°F)Nov,Mean daily minimum °C (°F)Nov,Average precipitation mm (inches)Nov,Mean daily maximum °C (°F)Dec,Daily mean °C (°F)Dec,Mean daily minimum °C (°F)Dec,Average precipitation mm (inches)Dec,Mean daily maximum °C (°F)Year,Daily mean °C (°F)Year,Mean daily minimum °C (°F)Year,Average precipitation mm (inches)Year,City,Sub-region,Region,2021,Area,Density per km2
0,14.8,11.6,8.3,99.9,16.2,12.7,9.1,84.9,18.8,14.9,11.0,53.2,19.8,15.9,11.9,68.1,22.1,18.0,13.9,53.6,25.7,21.2,16.6,15.9,27.9,23.1,18.2,4.2,28.3,23.5,18.6,6.2,26.5,22.1,17.6,32.9,22.5,18.8,15.1,100.8,18.2,15.0,11.8,127.6,15.3,12.4,9.4,126.7,21.3,17.4,13.5,774.0,Lisbon,Lisbon Metropolitan Area,Lisbon Metropolitan Area,545796,100.05 km2,5456.5
1,13.8,9.5,5.2,147.1,15.0,10.4,5.9,110.5,17.4,12.6,7.8,95.6,18.1,13.7,9.1,117.6,20.1,15.9,11.6,89.6,23.5,19.0,14.5,39.9,25.3,20.6,15.9,20.4,25.7,20.8,15.9,32.9,24.1,19.5,14.7,71.9,20.7,16.4,12.2,158.3,17.1,13.0,8.9,172.0,14.4,10.7,6.9,181.0,19.6,15.2,10.7,1237.0,Porto,Porto Metropolitan Area,North,231800,41.42 km2,5165.6
2,13.7,9.0,4.3,176.4,14.8,9.9,4.9,114.8,17.6,12.3,7.0,121.6,18.3,13.2,7.9,130.8,21.1,15.8,10.4,112.9,25.4,19.5,13.5,48.6,27.8,21.4,14.9,22.0,28.0,21.4,14.7,34.0,25.5,19.4,13.2,81.7,20.9,15.9,10.8,191.7,16.8,12.3,7.7,193.9,14.4,10.2,6.0,220.2,20.3,15.0,9.6,1448.6,Braga,Cávado,North,146543,61.38 km2,2351.9
3,14.8,9.9,5.0,112.2,16.2,11.0,5.8,105.6,18.9,13.3,7.6,65.5,19.9,14.5,9.1,84.8,22.4,16.9,11.4,79.5,26.2,20.3,14.3,39.8,28.4,21.9,15.6,12.8,28.7,21.9,15.1,14.4,27.3,20.7,14.1,51.7,22.7,17.2,11.8,102.6,18.0,13.3,8.6,109.4,15.4,11.0,6.5,126.8,21.6,16.0,10.4,905.1,Coimbra,Region of Coimbra,Center,106655,94.65 km2,1054.3
4,19.8,17.2,14.6,98.7,19.8,17.0,14.1,95.0,20.4,17.5,14.5,83.4,20.9,18.0,15.1,61.8,22.1,19.2,16.3,44.5,23.8,21.1,18.3,16.8,25.6,22.7,19.8,3.7,26.8,23.9,20.9,4.0,26.5,23.6,20.6,44.9,25.1,22.2,19.3,117.9,22.6,19.9,17.2,111.7,20.8,18.3,15.7,135.3,22.8,20.1,17.2,817.7,Funchal,Madeira,Madeira,105590,76.15 km2,1389.2
5,15.3,10.1,4.8,98.4,16.7,11.3,5.8,75.3,19.4,13.5,7.6,53.3,20.5,14.8,9.1,66.7,23.4,17.4,11.4,48.5,27.4,20.9,14.3,16.8,29.9,23.1,16.2,3.7,30.1,23.2,16.3,3.7,27.8,21.3,14.8,27.2,23.3,17.9,12.4,97.6,18.8,13.9,9.0,119.4,15.9,11.3,6.6,124.7,22.4,16.6,10.7,735.3,Setúbal,Lisbon Metropolitan Area,Lisbon Metropolitan Area,98470,51.49 km2,1755.6
6,11.9,7.1,2.2,153.2,13.8,8.6,3.3,105.6,16.9,11.0,5.2,79.0,17.6,11.9,6.2,113.6,20.6,14.7,8.8,103.0,26.2,19.0,11.7,35.2,29.6,21.7,13.8,19.2,29.6,21.6,13.5,17.8,26.1,19.0,11.9,66.0,20.1,14.7,9.1,147.0,15.1,10.6,6.0,155.5,12.7,8.5,4.2,203.4,20.0,14.0,8.0,1198.5,Viseu,Viseu Dão-Lafões,Center,60570,64.85 km2,917.0
7,14.2,10.8,7.4,114.5,15.1,11.4,7.8,88.7,17.1,13.3,9.5,49.9,18.9,14.9,10.9,70.6,20.6,16.6,12.6,46.8,23.5,19.1,14.8,22.1,25.3,20.7,16.1,6.9,25.9,21.1,16.3,12.5,24.2,19.9,15.7,40.0,21.6,17.6,13.6,114.0,17.2,13.7,10.3,106.2,14.6,11.3,8.1,105.4,19.9,15.9,11.9,777.6,Leiria,Region of Leiria,Center,54540,108.05 km2,633.1
8,15.9,12.0,8.2,62.0,16.6,12.6,8.6,51.4,17.8,13.8,9.9,47.0,19.7,15.4,11.1,42.1,22.2,17.6,13.0,25.2,25.3,20.4,15.6,5.6,28.4,22.9,17.5,1.0,28.8,23.4,18.0,2.1,26.3,21.6,16.9,18.8,22.9,18.8,14.7,62.2,19.0,15.1,11.3,94.0,16.6,12.7,8.8,116.7,21.6,17.2,12.8,528.1,Portimão,Algarve,Algarve,43810,75.69 km2,650.8
9,13.4,9.6,5.8,60.7,14.7,10.7,6.7,51.9,18.0,13.3,8.6,43.9,19.1,14.3,9.5,55.0,22.6,17.1,11.7,46.5,27.9,21.4,14.8,16.5,31.1,23.9,16.6,4.1,31.1,24.1,17.0,8.2,27.8,21.9,16.0,32.2,22.2,17.7,13.2,83.6,17.1,13.4,9.7,87.6,13.8,10.5,7.1,95.1,21.6,16.5,11.4,585.3,Évora,Central Alentejo,Alentejo,40373,112.06 km2,183.5
10,9.4,6.2,3.1,209.7,11.2,7.4,3.6,156.4,13.5,9.5,5.6,116.3,16.4,11.8,7.2,123.8,19.2,14.3,9.5,84.5,24.7,19.1,13.5,32.7,28.1,21.9,15.7,8.3,28.4,22.2,16.0,17.8,24.4,19.1,13.9,59.3,18.9,14.7,10.5,198.6,13.1,9.7,6.3,217.3,9.8,6.7,3.6,238.5,18.1,13.6,9.0,1463.2,Covilhã,Beiras and Serra da Estrela,Center,31950,25.95 km2,702.1
11,14.9,11.5,8.5,59.0,15.4,11.9,8.8,51.0,17.2,13.6,10.4,55.0,18.9,15.2,11.9,41.0,22.1,17.8,14.0,25.0,25.5,20.7,16.6,5.0,27.3,22.0,17.6,0.0,28.1,22.7,18.3,2.0,25.9,21.1,17.4,18.0,22.3,18.6,15.4,64.0,17.8,14.4,11.5,68.0,15.8,12.5,9.7,87.0,20.9,16.8,13.3,475.0,Lagos,Algarve,Algarve,19790,29.15 km2,811.4
12,15.0,9.1,3.2,66.2,16.2,9.9,3.6,49.7,20.1,12.8,5.5,44.4,21.7,14.6,7.5,45.4,24.7,17.5,10.3,44.2,28.7,20.7,12.7,14.5,32.0,23.0,14.0,4.7,32.8,23.5,14.2,5.6,29.9,21.1,12.3,25.4,24.3,17.2,10.1,91.4,18.8,12.7,6.6,78.9,15.4,10.1,4.8,75.4,23.3,16.0,8.7,545.8,Abrantes,Medium Tejo,Center,17199,64.47 km2,250.3
13,13.6,8.7,3.8,60.6,15.5,10.1,4.8,50.0,19.2,13.1,7.0,40.0,20.7,14.6,8.6,51.7,24.8,18.0,11.3,42.1,30.5,22.8,15.0,20.6,34.1,25.5,16.9,3.2,33.9,25.5,17.1,4.0,29.9,22.6,15.3,26.7,23.5,17.8,12.1,71.7,17.8,12.9,8.0,81.9,14.1,9.8,5.5,89.6,23.1,16.8,10.5,542.1,Elvas,High Alentejo,Alentejo,14324,202.70 km2,71.2
