GTF_tag,Locus_tag,Gene_name,Product
gene-Rv0001,Rv0001,dnaA,Chromosomal replication initiator protein DnaA
gene-Rv0002,Rv0002,dnaN,DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)
gene-Rv0003,Rv0003,recF,DNA replication and repair protein RecF (single-strand DNA binding protein)
gene-Rv0004,Rv0004,Rv0004,Conserved hypothetical protein
gene-Rv0005,Rv0005,gyrB,DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)
gene-Rv0006,Rv0006,gyrA,DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)
gene-Rv0007,Rv0007,Rv0007,Possible conserved membrane protein
gene-Rv0008c,Rv0008c,Rv0008c,Possible membrane protein
gene-Rv0009,Rv0009,ppiA,Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)
gene-Rv0010c,Rv0010c,Rv0010c,Probable conserved membrane protein
gene-Rv0011c,Rv0011c,Rv0011c,Probable conserved transmembrane protein
gene-Rv0012,Rv0012,Rv0012,Probable conserved membrane protein
gene-Rv0013,Rv0013,trpG,Possible anthranilate synthase component II TrpG (glutamine amidotransferase)
gene-Rv0014c,Rv0014c,pknB,Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)
gene-Rv0015c,Rv0015c,pknA,Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)
gene-Rv0016c,Rv0016c,pbpA,Probable penicillin-binding protein PbpA
gene-Rv0017c,Rv0017c,rodA,Probable cell division protein RodA
gene-Rv0018c,Rv0018c,pstP,Phosphoserine/threonine phosphatase PstP
gene-Rv0019c,Rv0019c,fhaB,"Conserved protein with FHA domain, FhaB"
gene-Rv0020c,Rv0020c,fhaA,"Conserved protein with FHA domain, FhaA"
gene-Rv0021c,Rv0021c,Rv0021c,Conserved hypothetical protein
gene-Rv0022c,Rv0022c,whiB5,Probable transcriptional regulatory protein WhiB-like WhiB5
gene-Rv0023,Rv0023,Rv0023,Possible transcriptional regulatory protein
gene-Rv0024,Rv0024,Rv0024,Putative secreted protein P60-related protein
gene-Rv0025,Rv0025,Rv0025,Conserved hypothetical protein
gene-Rv0026,Rv0026,Rv0026,Conserved hypothetical protein
gene-Rv0027,Rv0027,Rv0027,Conserved hypothetical protein
gene-Rv0028,Rv0028,Rv0028,Conserved hypothetical protein
gene-Rv0029,Rv0029,Rv0029,Conserved hypothetical protein
gene-Rv0030,Rv0030,Rv0030,Conserved hypothetical protein
gene-Rv0031,Rv0031,Rv0031,Possible remnant of a transposase
gene-Rv0032,Rv0032,bioF2,Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)
gene-Rv0033,Rv0033,acpA,Probable acyl carrier protein AcpA (ACP)
gene-Rv0034,Rv0034,Rv0034,Conserved hypothetical protein
gene-Rv0035,Rv0035,fadD34,Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0036c,Rv0036c,Rv0036c,Conserved protein
gene-Rv0037c,Rv0037c,Rv0037c,Probable conserved integral membrane protein
gene-Rv0038,Rv0038,Rv0038,Conserved protein
gene-Rv0039c,Rv0039c,Rv0039c,Possible conserved transmembrane protein
gene-Rv0040c,Rv0040c,mtc28,Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)
gene-Rv0041,Rv0041,leuS,Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)
gene-Rv0042c,Rv0042c,Rv0042c,Possible transcriptional regulatory protein (probably MarR-family)
gene-Rv0043c,Rv0043c,Rv0043c,Probable transcriptional regulatory protein (probably GntR-family)
gene-Rv0044c,Rv0044c,Rv0044c,Possible oxidoreductase
gene-Rv0045c,Rv0045c,Rv0045c,Possible hydrolase
gene-Rv0046c,Rv0046c,ino1,myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)
gene-Rv0047c,Rv0047c,Rv0047c,Conserved protein
gene-Rv0048c,Rv0048c,Rv0048c,Possible membrane protein
gene-Rv0049,Rv0049,Rv0049,Conserved hypothetical protein
gene-Rv0050,Rv0050,ponA1,Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)
gene-Rv0051,Rv0051,Rv0051,Probable conserved transmembrane protein
gene-Rv0052,Rv0052,Rv0052,Conserved protein
gene-Rv0053,Rv0053,rpsF,30S ribosomal protein S6 RpsF
gene-Rv0054,Rv0054,ssb,Single-strand binding protein Ssb (helix-destabilizing protein)
gene-Rv0055,Rv0055,rpsR1,30S ribosomal protein S18-1 RpsR1
gene-Rv0056,Rv0056,rplI,50S ribosomal protein L9 RplI
gene-Rv0057,Rv0057,Rv0057,Hypothetical protein
gene-Rv0058,Rv0058,dnaB,Probable replicative DNA helicase DnaB
gene-Rv0059,Rv0059,Rv0059,Hypothetical protein
gene-Rv0060,Rv0060,Rv0060,Conserved hypothetical protein
gene-Rv0061c,Rv0061c,Rv0061c,Hypothetical protein
gene-Rv0062,Rv0062,celA1,"Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)"
gene-Rv0063,Rv0063,Rv0063,Possible oxidoreductase
gene-Rv0064,Rv0064,Rv0064,Probable conserved transmembrane protein
gene-Rv0064A,Rv0064A,vapB1,Possible antitoxin VapB1
gene-Rv0065,Rv0065,vapC1,Possible toxin VapC1
gene-Rv0066c,Rv0066c,icd2,Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)
gene-Rv0067c,Rv0067c,Rv0067c,Possible transcriptional regulatory protein (possibly TetR-family)
gene-Rv0068,Rv0068,Rv0068,Probable oxidoreductase
gene-Rv0069c,Rv0069c,sdaA,Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)
gene-Rv0070c,Rv0070c,glyA2,Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)
gene-Rv0071,Rv0071,Rv0071,Possible maturase
gene-Rv0072,Rv0072,Rv0072,Probable glutamine-transport transmembrane protein ABC transporter
gene-Rv0073,Rv0073,Rv0073,Probable glutamine-transport ATP-binding protein ABC transporter
gene-Rv0074,Rv0074,Rv0074,Conserved protein
gene-Rv0075,Rv0075,Rv0075,Probable aminotransferase
gene-Rv0076c,Rv0076c,Rv0076c,Probable membrane protein
gene-Rv0077c,Rv0077c,Rv0077c,Probable oxidoreductase
gene-Rv0078,Rv0078,Rv0078,Probable transcriptional regulatory protein
gene-Rv0078A,Rv0078A,Rv0078A,Hypothetical protein
gene-Rv0078B,Rv0078B,Rv0078B,Conserved protein
gene-Rv0079,Rv0079,Rv0079,Unknown protein
gene-Rv0080,Rv0080,Rv0080,Conserved hypothetical protein
gene-Rv0081,Rv0081,Rv0081,Probable transcriptional regulatory protein
gene-Rv0082,Rv0082,Rv0082,Probable oxidoreductase
gene-Rv0083,Rv0083,Rv0083,Probable oxidoreductase
gene-Rv0084,Rv0084,hycD,Possible formate hydrogenlyase HycD (FHL)
gene-Rv0085,Rv0085,hycP,Possible hydrogenase HycP
gene-Rv0086,Rv0086,hycQ,Possible hydrogenase HycQ
gene-Rv0087,Rv0087,hycE,Possible formate hydrogenase HycE (FHL)
gene-Rv0088,Rv0088,Rv0088,Possible polyketide cyclase/dehydrase
